x	v	dtheta	theta
-0.039611	0.013678	0.011217	0.045292
0.00034173	0.64229	-1.8294	-0.072218
-0.030329	-0.99696	3.2492	0.0039781
-0.18614	-2.0765	5.7386	0.49832
-0.29634	-0.47919	0.15039	0.77855
-0.28964	0.71747	-4.5371	0.57475
-0.14235	2.4847	-10.173	-0.19047
0.11503	2.4378	-8.3733	-1.1543
0.30279	0.9495	-5.0961	-1.8075
0.31042	-0.23053	-4.053	-2.2464
0.24916	-1.0946	-4.1594	-2.6535
0.19811	-0.10825	-0.40815	-2.8726
0.16287	-0.64737	-1.1945	-2.94
0.097176	-0.89448	-1.6943	-3.1057
0.02764	-0.15348	0.56721	-3.1585
0.013907	-0.59387	-0.72067	-3.1581
-0.08825	-0.67915	-1.2772	-3.2606
-0.1186	-0.21646	-0.26692	-3.3236
-0.095795	0.17349	0.28123	-3.3332
-0.057723	0.8139	1.7816	-3.2225
-0.012602	0.52884	0.95234	-3.1044
0.044465	0.18227	0.099263	-3.0513
0.053106	0.038648	-0.077297	-3.0556
0.044154	-0.10188	-0.22498	-3.0635
0.017071	-0.3395	-0.75028	-3.1189
-0.0080124	-0.14019	-0.10777	-3.1539
-0.0062614	-0.28473	-0.55721	-3.1797
-0.052794	0.090208	0.30595	-3.1899
-0.010439	-0.12115	-0.41469	-3.191
-0.019603	0.47196	1.1737	-3.1523
5.762e-05	0.061485	0.021504	-3.1112
0.010207	-0.090708	-0.30062	-3.1305
0.0025308	0.1089	0.30822	-3.1023
0.010126	-0.31299	-0.86297	-3.1407
-0.0058737	0.26566	0.78594	-3.1277
0.0023609	-0.20211	-0.54979	-3.1418
-0.0069834	0.1046	0.37205	-3.1379
-0.017669	-0.19512	-0.49386	-3.1637
-0.023058	0.078525	0.27209	-3.1806
-0.027348	0.03763	0.14871	-3.1405
-0.026676	-0.26395	-0.74311	-3.1553
